year	id	filename	chinese_title	first_author	category	title	public_pdf_url
2024	01	论文PDF/01_2024_SIGMETRICS2024_NTP池受欢迎程度与映射的深入研究_Moura等.pdf	NTP池受欢迎程度与映射的深入研究	Moura	core_network_measurement	Deep Dive into NTP Pool's Popularity and Mapping	https://repository.tudelft.nl/file/File_b294ac13-2197-4d6f-8ea0-570a39c2a611
2024	02	论文PDF/02_2024_SIGMETRICS2024_MetaVRadar：测量元宇宙虚拟现实网络活动_Lyu等.pdf	MetaVRadar：测量元宇宙虚拟现实网络活动	Lyu	core_network_measurement	MetaVRadar: Measuring Metaverse Virtual Reality Network Activity	https://arxiv.org/pdf/2402.08286
2024	03	论文PDF/03_2024_SIGMETRICS2024_低轨卫星网络测量的普及化_Izhikevich等.pdf	低轨卫星网络测量的普及化	Izhikevich	core_network_measurement	Democratizing LEO Satellite Network Measurement	https://arxiv.org/pdf/2306.07469
2024	04	论文PDF/04_2024_SIGMETRICS2024_端到端截止期约束下多跳网络中的近最优分组调度_Tsanikidis等.pdf	端到端截止期约束下多跳网络中的近最优分组调度	Tsanikidis	core_network_scheduling	Near-Optimal Packet Scheduling in Multihop Networks with End-to-End Deadline Constraints	https://arxiv.org/pdf/2310.19077
2024	05	论文PDF/05_2024_SIGMETRICS2024_谁在支持我：互联网范围BGP-RTBH服务采用情况测量_Anghel等.pdf	谁在支持我：互联网范围BGP-RTBH服务采用情况测量	Anghel	core_network_measurement	Who's Got My Back? Measuring the Adoption of an Internet-wide BGP RTBH Service	https://repository.tudelft.nl/file/File_5e59a179-1db8-4f35-b11f-951a010bc0af
2024	06	论文PDF/06_2024_SIGMETRICS2024_虚拟化O-RAN平台中的公平资源分配_Aslan等.pdf	虚拟化O-RAN平台中的公平资源分配	Aslan	core_wireless_resource_allocation	Fair Resource Allocation in Virtualized O-RAN Platforms	https://arxiv.org/pdf/2402.11285
2024	07	论文PDF/07_2024_SIGMETRICS2024_BONES：近最优的神经增强视频流传输_Wang等.pdf	BONES：近最优的神经增强视频流传输	Wang	core_network_streaming	BONES: Near-Optimal Neural-Enhanced Video Streaming	https://arxiv.org/pdf/2310.09920
2024	08	论文PDF/08_2024_SIGMETRICS2024_NetDiffusion：通过协议约束流量生成实现网络数据增强_Jiang等.pdf	NetDiffusion：通过协议约束流量生成实现网络数据增强	Jiang	core_network_measurement	NetDiffusion: Network Data Augmentation Through Protocol-Constrained Traffic Generation	https://arxiv.org/pdf/2310.08543
2024	09	论文PDF/09_2024_SIGMETRICS2024_重载条件下最优的规模与状态感知分派_Xie等.pdf	重载条件下最优的规模与状态感知分派	Xie	performance_scheduling_reference	Heavy-Traffic Optimal Size- and State-Aware Dispatching	https://arxiv.org/pdf/2312.16377
2024	10	论文PDF/10_2024_SIGMETRICS2024_轻尾M-G-1系统中的强尾部最优调度_Yu等.pdf	轻尾M/G/1系统中的强尾部最优调度	Yu	performance_scheduling_reference	Strongly Tail-Optimal Scheduling in the Light-Tailed M/G/1	https://arxiv.org/pdf/2404.08826
2025	11	论文PDF/11_2025_SIGMETRICS2025_FastFlow：用最少时序分组实现早期且鲁棒的网络流分类_Babaria等.pdf	FastFlow：用最少时序分组实现早期且鲁棒的网络流分类	Babaria	core_network_measurement	FastFlow: Early Yet Robust Network Flow Classification using the Minimal Number of Time-Series Packets	https://arxiv.org/pdf/2504.02174
2025	12	论文PDF/12_2025_SIGMETRICS2025_Bandit反馈下的对抗性网络优化：最大化非平稳多跳网络效用_Dai等.pdf	Bandit反馈下的对抗性网络优化：最大化非平稳多跳网络效用	Dai	core_network_optimization	Adversarial Network Optimization under Bandit Feedback: Maximizing Utility in Non-Stationary Multi-Hop Networks	https://arxiv.org/pdf/2408.16215
2025	13	论文PDF/13_2025_SIGMETRICS2025_通过放宽网络度量维度降低传感器需求_Mürmann等.pdf	通过放宽网络度量维度降低传感器需求	Mürmann	core_network_measurement	Reducing Sensor Requirements by Relaxing the Network Metric Dimension	https://arxiv.org/pdf/2505.11193
2025	14	论文PDF/14_2025_SIGMETRICS2025_任意拓扑时空量子网络中的图态点对点分发_Huang等.pdf	任意拓扑时空量子网络中的图态点对点分发	Huang	core_networking	Peer-to-Peer Distribution of Graph States Across Spacetime Quantum Networks of Arbitrary Topology	https://arxiv.org/pdf/2412.14757
2025	15	论文PDF/15_2025_SIGMETRICS2025_网络中的学习增强型去中心化在线凸优化_Li等.pdf	网络中的学习增强型去中心化在线凸优化	Li	core_network_optimization	Learning-Augmented Decentralized Online Convex Optimization in Networks	https://arxiv.org/pdf/2306.10158
2025	16	论文PDF/16_2025_SIGMETRICS2025_Starlink视频流传输的过去、现在与未来：全球视角_Izhikevich等.pdf	Starlink视频流传输的过去、现在与未来：全球视角	Izhikevich	core_network_measurement	A Global Perspective on the Past, Present, and Future of Video Streaming over Starlink	https://arxiv.org/pdf/2409.09846
2025	17	论文PDF/17_2025_SIGMETRICS2025_利用马尔可夫服务速率策略改进多资源作业调度_Chen等.pdf	利用马尔可夫服务速率策略改进多资源作业调度	Chen	performance_scheduling_reference	Improving Multiresource Job Scheduling with Markovian Service Rate Policies	https://arxiv.org/pdf/2412.08915
2026	18	论文PDF/18_2026_SIGMETRICS2026_PEMI：面向QUIC的透明性能增强_Zhang等.pdf	PEMI：面向QUIC的透明性能增强	Zhang	core_transport_networking	PEMI: Transparent Performance Enhancements for QUIC	https://arxiv.org/pdf/2602.12732
