scope_id	match_dataset	match_version_year	match_record_type	match_name	match_abbreviation	scope_summary	topic_tags	keywords_zh	keywords_en	article_types	accepts_original_research	submission_mode	scope_context	scope_year	out_of_scope	source_type	source_url	source_accessed_at	evidence	review_status	reviewed_by	reviewed_at	review_notes	secondary_source_urls	target_status
ccf-2026-ppopp-main-2026	ccf	2026	conference	ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming	PPoPP	并行与高性能编程的语言、编译器、运行时、系统、算法和应用，覆盖多核、GPU、FPGA、异构、分布式及新兴并行平台。	parallel_hpc;accelerators_heterogeneous;compilers_runtime	并行编程；高性能计算；异构计算；GPU；FPGA；编译器；运行时系统；分布式计算	parallel programming;high-performance computing;heterogeneous computing;GPU;FPGA;compiler;runtime;distributed computing	original_research;systems_experience	yes	open	main_track	2026	仅使用并行平台但没有并行编程、系统或性能方面研究贡献的应用论文通常不匹配。	official_cfp	https://ppopp26.sigplan.org/track/PPoPP-2026-papers	2026-08-06	主会研究轨覆盖并行编程的原理、实践、系统与应用。	approved	project-curation	2026-08-06	按主会 research papers 审核整理。		active_target
ccf-2026-fast-main-2026	ccf	2026	conference	USENIX Conference on File and Storage Technologies	FAST	文件系统与存储系统的设计、实现和评估，包括分布式存储、缓存、持久内存、可靠性、安全、数据管理与存储硬件协同。	storage_filesystems;distributed_cloud_edge;system_security	文件系统；存储系统；分布式存储；缓存；持久内存；可靠性；存储安全；数据布局	file systems;storage systems;distributed storage;caching;persistent memory;reliability;storage security;data layout	original_research;systems_experience	yes	open	main_track	2026	不以存储或文件系统为核心贡献的通用数据库、网络和机器学习论文不匹配。	official_cfp	https://www.usenix.org/conference/fast26/call-for-papers	2026-08-06	主会征集文件与存储技术相关的系统研究。 官方范围要点：文件系统与存储系统的设计、实现和评估，包括分布式存储、缓存、持久内存、可靠性、安全、数据管理与存储硬件协同。	approved	project-curation	2026-08-06	替换旧 FAST 2002 来源。		active_target
ccf-2026-dac-main-2026	ccf	2026	conference	Design Automation Conference	DAC	电子设计自动化、芯片与系统设计方法，包括逻辑与物理设计、验证、测试、嵌入式系统、EDA 算法、AI 辅助芯片设计和硬件安全。	eda_cad;arch_microarchitecture;formal_methods_verification;hardware_security	电子设计自动化；集成电路设计；EDA；逻辑综合；物理设计；验证；测试；芯片设计；硬件安全	electronic design automation;integrated circuit design;EDA;logic synthesis;physical design;verification;testing;chip design;hardware security	original_research;applied_research	yes	open	main_track	2026	纯器件、工艺或电路论文需体现明确的设计自动化、系统设计或方法学贡献。	official_cfp	https://dac.com/2026/research-manuscript-submissions	2026-08-06	研究轨围绕电子系统与芯片的设计自动化和设计方法。	approved	project-curation	2026-08-06	按 Research Manuscripts 范围整理。		active_target
ccf-2026-hpca-main-2026	ccf	2026	conference	IEEE International Symposium on High Performance Computer Architecture	HPCA	高性能计算机体系结构，包括处理器、内存与互连、加速器、数据中心和边缘架构、可靠性、安全、能效及软硬件协同。	arch_microarchitecture;accelerators_heterogeneous;parallel_hpc	高性能体系结构；处理器；内存系统；互连；加速器；数据中心；能效；可靠性；软硬件协同	high-performance architecture;processor;memory system;interconnect;accelerator;data center;energy efficiency;reliability;hardware-software co-design	original_research	yes	open	main_track	2026	没有体系结构设计、分析或评估贡献的纯应用和算法论文不匹配。	official_cfp	https://2026.hpca-conf.org/track/hpca-2026-main-conference	2026-08-06	主会聚焦高性能计算机体系结构的新思想和实验结果。	approved	project-curation	2026-08-06	使用当前主会范围替换 TH 2019 历史来源。		active_target
ccf-2026-micro-main-2026	ccf	2026	conference	IEEE/ACM International Symposium on Microarchitecture	MICRO	处理器与系统微架构、编译器和运行时协同，覆盖核心、内存层次、互连、加速器、安全、可靠性、能效和新型计算范式。	arch_microarchitecture;accelerators_heterogeneous;compilers_runtime	微架构；处理器；缓存；内存层次；互连；加速器；编译器；运行时；安全；能效	microarchitecture;processor;cache;memory hierarchy;interconnect;accelerator;compiler;runtime;security;energy efficiency	original_research	yes	open	main_track	2026	纯电路、器件或应用工作需有清晰的微架构贡献。	official_cfp	https://microarch.hosting.acm.org/micro59/submit/papers.php	2026-08-06	会议系列主轨聚焦创新微架构思想与技术。 官方范围要点：处理器与系统微架构、编译器和运行时协同，覆盖核心、内存层次、互连、加速器、安全、可靠性、能效和新型计算范式。	approved	project-curation	2026-08-06	按 MICRO 主会研究范围整理。		active_target
ccf-2026-sc-main-2026	ccf	2026	conference	International Conference for High Performance Computing, Networking, Storage, and Analysis	SC	高性能计算的算法、应用、体系结构、网络、存储、系统软件、编程模型、数据分析、性能工程和大规模科学计算。	parallel_hpc;scientific_computing;distributed_cloud_edge;storage_filesystems	高性能计算；超级计算；并行算法；科学计算；系统软件；高速网络；存储；性能分析；大规模数据	high-performance computing;supercomputing;parallel algorithm;scientific computing;system software;high-speed network;storage;performance analysis;large-scale data	original_research;systems_experience	yes	open	main_track	2026	普通规模应用或仅调用现成 HPC 平台、缺乏并行与高性能贡献的论文不匹配。	official_cfp	https://sc26.supercomputing.org/program/papers/	2026-08-06	技术论文项目覆盖高性能计算、网络、存储和分析。	approved	project-curation	2026-08-06	按 SC technical papers 整理。		active_target
ccf-2026-asplos-main-2026	ccf	2026	conference	International Conference on Architectural Support for Programming Languages and Operating Systems	ASPLOS	跨越体系结构、操作系统和编程语言的软硬件系统研究，包括加速器、编译与运行时、云边系统、安全、可靠性和新型应用负载。	arch_microarchitecture;operating_systems;programming_languages;accelerators_heterogeneous	体系结构；操作系统；编程语言；编译器；运行时；加速器；软硬件协同；云边系统；系统安全	computer architecture;operating system;programming language;compiler;runtime;accelerator;hardware-software co-design;cloud edge system;system security	original_research;systems_experience	yes	open	main_track	2026	单一领域工作需体现对跨层系统设计或 ASPLOS 社区的重要影响。	official_cfp	https://www.asplos-conference.org/asplos2026/cfp/	2026-08-06	主会连接体系结构、程序语言与操作系统。 官方范围要点：跨越体系结构、操作系统和编程语言的软硬件系统研究，包括加速器、编译与运行时、云边系统、安全、可靠性和新型应用负载。	approved	project-curation	2026-08-06	按 ASPLOS research track 整理。		active_target
ccf-2026-isca-main-2026	ccf	2026	conference	International Symposium on Computer Architecture	ISCA	计算机体系结构的新设计与实验研究，覆盖处理器、内存、互连、多处理器、数据中心、移动与嵌入式、加速器、安全和新兴计算技术。	arch_microarchitecture;accelerators_heterogeneous;parallel_hpc	计算机体系结构；处理器；内存系统；互连；多处理器；数据中心；加速器；移动计算；嵌入式；安全	computer architecture;processor;memory system;interconnect;multiprocessor;data center;accelerator;mobile computing;embedded;security	original_research	yes	open	main_track	2026	没有体系结构层创新、分析或实验结论的纯算法与应用论文不匹配。	official_cfp	https://www.iscaconf.org/isca2026/submit/callforpapers.php	2026-08-06	主会征集计算机体系结构的新思想与实验结果。	approved	project-curation	2026-08-06	替换 ISCA 2019 历史来源。		active_target
ccf-2026-sigops-atc-main-2026	ccf	2026	conference	ACM SIGOPS Annual Technical Conference	ACM SIGOPS ATC （原 USENIX ATC）	计算机系统软件的设计、实现与实践，包括操作系统、分布式系统、存储、网络、虚拟化、安全、可靠性、性能和软硬件交互。	operating_systems;distributed_cloud_edge;storage_filesystems;performance_measurement	系统软件；操作系统；分布式系统；存储；网络系统；虚拟化；可靠性；性能评估；软硬件协同	systems software;operating system;distributed system;storage;networked system;virtualization;reliability;performance evaluation;hardware-software interaction	original_research;systems_experience	yes	open	main_track	2026	缺少系统设计、实现或真实评估贡献的纯理论与应用论文不匹配。	official_cfp	https://sigops.org/s/conferences/atc/2026/cfp.html	2026-08-06	年度技术会议覆盖系统软件的实际方面。 官方范围要点：计算机系统软件的设计、实现与实践，包括操作系统、分布式系统、存储、网络、虚拟化、安全、可靠性、性能和软硬件交互。	approved	project-curation	2026-08-06	按更名后的 ACM SIGOPS ATC 主轨整理。		active_target
ccf-2026-eurosys-main-2026	ccf	2026	conference	European Conference on Computer Systems	EuroSys	计算机系统研究，包括操作系统、分布式与云边系统、存储、网络系统、移动与嵌入式、虚拟化、可靠性、安全、性能与可持续系统。	operating_systems;distributed_cloud_edge;storage_filesystems;embedded_realtime_cps	操作系统；分布式系统；云计算；边缘计算；存储；网络系统；移动系统；嵌入式；虚拟化；可靠性	operating system;distributed system;cloud computing;edge computing;storage;networked system;mobile system;embedded;virtualization;reliability	original_research;systems_experience	yes	open	main_track	2026	没有系统构建、设计或评估贡献的纯算法和应用工作不匹配。	official_cfp	https://2026.eurosys.org/cfp.html	2026-08-06	主会面向计算机系统领域的原创研究。 官方范围要点：计算机系统研究，包括操作系统、分布式与云边系统、存储、网络系统、移动与嵌入式、虚拟化、可靠性、安全、性能与可持续系统。	approved	project-curation	2026-08-06	按 EuroSys main conference 整理。		active_target
