dataset,source,source_file,version_year,record_type,name,收稿方向,abbreviation,issn,eissn,issn_eissn,publisher,url,area,area_en,level,sequence,impact_factor,wos_index,top,source_page,notes,cas_review,cas_oa_journal_index,cas_open_access,cas_label,cas_major_area,cas_major_partition,cas_major_rank,cas_subject_1,cas_subject_partition_1,cas_subject_rank_1,cas_subject_2,cas_subject_partition_2,cas_subject_rank_2,cas_subject_3,cas_subject_partition_3,cas_subject_rank_3,cas_subject_4,cas_subject_partition_4,cas_subject_rank_4,cas_subject_5,cas_subject_partition_5,cas_subject_rank_5,cas_subject_6,cas_subject_partition_6,cas_subject_rank_6,jcr_category_1,jcr_quartile_1,jcr_rank_1,jcr_category_2,jcr_quartile_2,jcr_rank_2,jcr_category_3,jcr_quartile_3,jcr_rank_3,jcr_category_4,jcr_quartile_4,jcr_rank_4,jcr_category_5,jcr_quartile_5,jcr_rank_5,jcr_category_6,jcr_quartile_6,jcr_rank_6,收稿方向_官网摘取,收稿方向_来源URL,收稿方向_证据,收稿方向_置信度,收稿方向_状态,收稿方向_更新时间
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,International Symposium on Computer Architecture,高性能计算；High Performance Computing,ISCA,,,,,,高性能计算,High Performance Computing,A,1,,,,1,superseded: TH-CPL 2019 历史征稿页，已由当前年度范围取代。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,涵盖处理器、内存、存储系统架构，多处理器系统，数据中心计算，物联网/移动/嵌入式架构，互连网络，加速器架构，安全/虚拟化支持，新兴技术（如量子计算）等计算机体系结构前沿主题。；关键词：计算机体系结构；处理器架构；内存系统；数据中心；加速器；安全；量子计算；并行处理,https://iscaconf.org/isca2019/cfp.html,已废止自动候选：TH-CPL 2019 历史征稿页，已由当前年度范围取代。 The International Symposium on Computer Architecture is the premier forum for new ideas and experimental results in comp,low,superseded,2026-07-30T12:12:34+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,USENIX Conference on File and Storage Technologies,高性能计算；High Performance Computing,FAST,,,,,,高性能计算,High Performance Computing,A,2,,,,1,superseded: FAST 2002 历史征稿页，已由当前年度范围取代。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,涵盖文件系统与数据存储的各个方面，包括数据布局、缓存、可扩展存储、安全、移动存储、可靠性、数据库存储管理、网络存储、新技术、性能评估等。；关键词：文件系统；数据存储；存储系统；缓存与复制；可扩展存储；存储安全；存储可靠性；网络存储,http://www.usenix.org/publications/library/proceedings/fast02/cfp/,已废止自动候选：FAST 2002 历史征稿页，已由当前年度范围取代。 Papers may be on any topic related to file systems and data storage,low,superseded,2026-07-30T12:11:54+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,International Conference on Architectural Support for Programming Languages and Operating Systems,高性能计算；High Performance Computing,ASPLOS,,,,,,高性能计算,High Performance Computing,A,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:12:39+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,European Conference on Computer Systems,高性能计算；High Performance Computing,EuroSys,,,,,,高性能计算,High Performance Computing,A,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:12:44+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,International Symposium on High-Performance Computer Architecture,高性能计算；High Performance Computing,HPCA,,,,,,高性能计算,High Performance Computing,A,5,,,,2,superseded: TH-CPL 2019 历史征稿页，已由当前年度范围取代。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HPCA是高性能计算机体系结构的顶级国际会议，涵盖处理器架构、内存系统、互连网络、加速器设计、功耗优化、可靠性与安全等方向。；关键词：高性能计算机体系结构；处理器架构；内存系统；互连网络；加速器设计；功耗优化；可靠性；安全性,http://hpca2019.seas.gwu.edu/index.html,已废止自动候选：TH-CPL 2019 历史征稿页，已由当前年度范围取代。 The 25th International Symposium on High-Performance Computer Architecture provides a high-quality forum for scientists,low,superseded,2026-07-30T12:13:01+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,International Conference on Measurement and Modeling of Computer Systems,高性能计算；High Performance Computing,SIGMETRICS,,,,,,高性能计算,High Performance Computing,A,6,,,,2,superseded: SIGMETRICS 2019 历史征稿页，已由当前年度范围取代。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,该会议征稿涵盖计算与网络系统的测量、建模、分析及设计，包括性能评估方法、应用及系统研究，如计算机网络、无线传感器、物联网、计算机体系结构、操作系统、数据中心、云计算、移动系统、能效计算、安全隐私、社交网络、智能电网等。；关键词：性能评估；测量；建模；计算机网络；云计算；物联网；计算机体系结构；操作系统；数据中心；智能电网；机器学习；大数据,https://www.sigmetrics.org/sigmetrics2019/call_for_papers.html,已废止自动候选：SIGMETRICS 2019 历史征稿页，已由当前年度范围取代。 The 2019 ACM SIGMETRICS / IFIP Performance conference solicits papers on the development and application of state-of-the,low,superseded,2026-07-30T12:13:16+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,高性能计算；High Performance Computing,FPGA,,,,,,高性能计算,High Performance Computing,A,7,,,,2,superseded: FPGA 2019 历史征稿页，已由当前年度范围取代。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FPGA架构、电路设计、CAD工具、高层次抽象与工具、基于FPGA的计算引擎、应用与设计研究，以及新兴应用/方法论的教程。；关键词：FPGA架构；电路设计；CAD；高层次综合；可重构计算；加速器；机器学习,https://www.isfpga.org/past/fpga2019/cfp.html,"已废止自动候选：FPGA 2019 历史征稿页，已由当前年度范围取代。 We solicit research papers related to the following areas: FPGA Architecture, FPGA Circuit Design, CAD for FPGAs, High-L",low,superseded,2026-07-30T12:13:35+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,USENIX Annul Technical Conference,高性能计算；High Performance Computing,USENIX ATC,,,,,,高性能计算,High Performance Computing,A,8,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,涵盖计算系统的所有实际方面，包括操作系统、运行时系统、并行与分布式系统、存储、网络、安全与隐私、虚拟化、软硬件交互、性能评估与工作负载特征、可靠性、可用性、可扩展性、能源/功耗管理、错误发现与追踪分析等。；关键词：操作系统；分布式系统；存储；网络；安全与隐私；虚拟化；性能评估；可靠性,https://www.usenix.org/conference/atc19/call-for-papers,The scope of USENIX ATC covers all practical aspects related to systems software,high,ok,2026-07-30T12:13:48+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,IEEE/ACM International Symposium on Microarchitecture,高性能计算；High Performance Computing,MICRO,,,,,,高性能计算,High Performance Computing,A,9,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MICRO是微架构领域的顶级论坛，涵盖处理器架构、编译器、系统等传统及新兴研究方向，注重学术与工业界的紧密交流。；关键词：微架构；处理器架构；编译器；系统；计算机体系结构,https://dl.acm.org/conference/micro,"MICRO is the premier forum for presenting, discussing and debating new and innovative microarchitecture ideas and techni",high,ok,2026-07-30T12:11:54+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,"International Conference for High Performance Computing, Networking, Storage, and Analysis",高性能计算；High Performance Computing,SC,,,,,,高性能计算,High Performance Computing,A,10,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC会议是高性能计算、网络、存储与分析领域的顶级学术会议，涵盖算法、体系结构、应用、系统软件、数据管理、编程模型、性能分析等方向，强调可重复性研究。；关键词：高性能计算；网络；存储；分析；算法；体系结构；系统软件；可重复性,https://sc26.supercomputing.org/program/papers/,"The SC Papers program is the leading venue for presenting high-quality original research...high performance computing, n",high,ok,2026-07-30T12:11:54+00:00
