year	id	venue	filename	chinese_title	first_author	category	title	doi	arxiv_id	public_pdf_url	infocom_evidence
2024	01	INFOCOM2024	论文PDF/01_2024_INFOCOM2024_ORANUS：基于随机网络演算的6G O-RAN时延定制化编排_Adamuz-Hinojosa等.pdf	ORANUS：基于随机网络演算的6G O-RAN时延定制化编排	Adamuz-Hinojosa	oran_radio_resource_orchestration	ORANUS: Latency-tailored Orchestration via Stochastic Network Calculus in 6G O-RAN	10.1109/INFOCOM52122.2024.10621356	2401.03812v1	https://arxiv.org/pdf/2401.03812v1	Accepted for publication in IEEE INFOCOM 2024
2024	02	INFOCOM2024	论文PDF/02_2024_INFOCOM2024_HoloBeam：远场全息超表面收发机的最优波束形成学习_Ghosh等.pdf	HoloBeam：远场全息超表面收发机的最优波束形成学习	Ghosh	beamforming_resource_optimization	HoloBeam: Learning Optimal Beamforming in Far-Field Holographic Metasurface Transceivers	10.1109/INFOCOM52122.2024.10621175	2401.05420v1	https://arxiv.org/pdf/2401.05420v1	Accepted for presentation at INFOCOM 2024
2024	03	INFOCOM2024	论文PDF/03_2024_INFOCOM2024_AdaSem：面向端到端相机重定位的自适应目标导向语义通信_Liao等.pdf	AdaSem：面向端到端相机重定位的自适应目标导向语义通信	Liao	adaptive_wireless_semantic_communication	AdaSem: Adaptive Goal-Oriented Semantic Communications for End-to-End Camera Relocalization	10.1109/INFOCOM52122.2024.10621397	2401.08360v2	https://arxiv.org/pdf/2401.08360v2	IEEE INFOCOM 2024
2024	04	INFOCOM2024	论文PDF/04_2024_INFOCOM2024_窃听者合谋下基于分布式协同波束形成的双向空中安全通信_Li等.pdf	窃听者合谋下基于分布式协同波束形成的双向空中安全通信	Li	collaborative_beamforming	Two-Way Aerial Secure Communications via Distributed Collaborative Beamforming under Eavesdropper Collusion	10.1109/INFOCOM52122.2024.10621264	2404.07444v1	https://arxiv.org/pdf/2404.07444v1	Accepted by IEEE INFOCOM 2024
2024	05	INFOCOM2024	论文PDF/05_2024_INFOCOM2024_面向动态频谱接入的可扩展网络层析_Madnaik等.pdf	面向动态频谱接入的可扩展网络层析	Madnaik	dynamic_spectrum_access	Scalable Network Tomography for Dynamic Spectrum Access	10.1109/INFOCOM52122.2024.10621172	2403.03376v1	https://arxiv.org/pdf/2403.03376v1	Accepted to IEEE INFOCOM 2024
2024	06	INFOCOM2024	论文PDF/06_2024_INFOCOM2024_面向边玩边赚的移动边缘计算元宇宙优化_Liu等.pdf	面向边玩边赚的移动边缘计算元宇宙优化	Liu	mobile_edge_compute_and_transmission_resource	Optimization for the Metaverse over Mobile Edge Computing with Play to Earn	10.1109/INFOCOM52122.2024.10621355	2312.05871v1	https://arxiv.org/pdf/2312.05871v1	Full paper in IEEE Conference on Computer Communications (INFOCOM) 2024
2025	07	INFOCOM2025	论文PDF/07_2025_INFOCOM2025_AdaSlicing：开放无线接入网持续网络动态下的自适应在线网络切片_Zhao等.pdf	AdaSlicing：开放无线接入网持续网络动态下的自适应在线网络切片	Zhao	oran_network_slicing	AdaSlicing: Adaptive Online Network Slicing Under Continual Network Dynamics in Open Radio Access Networks	10.1109/INFOCOM55648.2025.11044475	2501.06943v1	https://arxiv.org/pdf/2501.06943v1	Accepted by IEEE INFOCOM 2025
2025	08	INFOCOM2025	论文PDF/08_2025_INFOCOM2025_SYMBXRL：面向移动网络的符号化可解释深度强化学习_Duttagupta等.pdf	SYMBXRL：面向移动网络的符号化可解释深度强化学习	Duttagupta	mobile_network_resource_control	SYMBXRL: Symbolic Explainable Deep Reinforcement Learning for Mobile Networks	10.1109/INFOCOM55648.2025.11044492	2601.22024v1	https://arxiv.org/pdf/2601.22024v1	Published in IEEE INFOCOM 2025
2025	09	INFOCOM2025	论文PDF/09_2025_INFOCOM2025_延迟信息下无线在线联邦学习的受约束空中模型更新_Wang等.pdf	延迟信息下无线在线联邦学习的受约束空中模型更新	Wang	wireless_over_the_air_resource_control	Constrained Over-the-Air Model Updating for Wireless Online Federated Learning with Delayed Information	10.1109/INFOCOM55648.2025.11044570	2501.05637v1	https://arxiv.org/pdf/2501.05637v1	To appear in INFOCOM 2025
2025	10	INFOCOM2025	论文PDF/10_2025_INFOCOM2025_移动边缘计算中混合专家模型的理论_Li等.pdf	移动边缘计算中混合专家模型的理论	Li	mobile_edge_compute_resource	Theory of Mixture-of-Experts for Mobile Edge Computing	10.1109/INFOCOM55648.2025.11044567	2412.15690v2	https://arxiv.org/pdf/2412.15690v2	Technical report for a paper accepted by INFOCOM 2025
2025	11	INFOCOMW2025	论文PDF/11_2025_INFOCOMW2025_AI与RAN的协同：融合6G平台的动态资源分配_Shah等.pdf	AI与RAN的协同：融合6G平台的动态资源分配	Shah	ai_ran_dynamic_resource_allocation	The Interplay of AI-and-RAN: Dynamic Resource Allocation for Converged 6G Platform		2503.07420v1	https://arxiv.org/pdf/2503.07420v1	Accepted for IEEE INFOCOM 2025 Workshop and proceedings
2025	12	INFOCOM2025	论文PDF/12_2025_INFOCOM2025_多接入网络中面向低时延移动应用的树嵌入映射系统_Mi等.pdf	多接入网络中面向低时延移动应用的树嵌入映射系统	Mi	multi_access_application_mapping	Tree Embedding Based Mapping System for Low-Latency Mobile Applications in Multi-Access Networks	10.1109/INFOCOM55648.2025.11044665	2504.20246v1	https://arxiv.org/pdf/2504.20246v1	Accepted by IEEE INFOCOM 2025
2025	13	INFOCOM2025	论文PDF/13_2025_INFOCOM2025_WRF-GS：基于三维高斯泼溅的无线辐射场重构_Wen等.pdf	WRF-GS：基于三维高斯泼溅的无线辐射场重构	Wen	wireless_radio_map	WRF-GS: Wireless Radiation Field Reconstruction with 3D Gaussian Splatting	10.1109/INFOCOM55648.2025.11044513	2412.04832v2	https://arxiv.org/pdf/2412.04832v2	INFOCOM 2025 conference version (arXiv v2)
2026	14	INFOCOM2026	论文PDF/14_2026_INFOCOM2026_DIFFRACT：通过可微编程实现无线网络的神经化效用最大化_Tan等.pdf	DIFFRACT：通过可微编程实现无线网络的神经化效用最大化	Tan	wireless_network_utility_maximization	DIFFRACT: Neuralized Utility Maximization for Wireless Networks by Differentiable Programming	10.1109/INFOCOM59046.2026.11571642	2606.07114v1	https://arxiv.org/pdf/2606.07114v1	IEEE INFOCOM 2026
2026	15	INFOCOM2026	论文PDF/15_2026_INFOCOM2026_EExApp：基于图神经网络强化学习的5G O-RAN无线单元能耗优化_Lu等.pdf	EExApp：基于图神经网络强化学习的5G O-RAN无线单元能耗优化	Lu	ran_energy_optimization	EExApp: GNN-Based Reinforcement Learning for Radio Unit Energy Optimization in 5G O-RAN	10.1109/INFOCOM59046.2026.11571264	2602.09206v2	https://arxiv.org/pdf/2602.09206v2	Accepted by IEEE INFOCOM 2026
2026	16	INFOCOM2026	论文PDF/16_2026_INFOCOM2026_oneTwin：基于神经无线辐射场的在线数字网络孪生_Zhang等.pdf	oneTwin：基于神经无线辐射场的在线数字网络孪生	Zhang	radio_network_digital_twin	oneTwin: Online Digital Network Twin via Neural Radio Radiance Field	10.1109/INFOCOM59046.2026.11571503	2601.03216v1	https://arxiv.org/pdf/2601.03216v1	Accepted by IEEE INFOCOM 2026
2026	17	INFOCOM2026	论文PDF/17_2026_INFOCOM2026_inRAN：开放无线接入网中面向网络自动化的可解释在线贝叶斯学习_Zhao等.pdf	inRAN：开放无线接入网中面向网络自动化的可解释在线贝叶斯学习	Zhao	oran_network_automation	inRAN: Interpretable Online Bayesian Learning for Network Automation in Open Radio Access Networks	10.1109/INFOCOM59046.2026.11571615	2601.03219v1	https://arxiv.org/pdf/2601.03219v1	Accepted by IEEE INFOCOM 2026
2026	18	INFOCOM2026	论文PDF/18_2026_INFOCOM2026_面向O-RAN网络切片的基于契约的智能体意图框架_Bimo等.pdf	面向O-RAN网络切片的基于契约的智能体意图框架	Bimo	oran_network_slicing	Contract-based Agentic Intent Framework for Network Slicing in O-RAN	10.1109/INFOCOM59046.2026.11571375	2603.01663v1	https://arxiv.org/pdf/2603.01663v1	Accepted at IEEE INFOCOM 2026
2026	19	INFOCOM2026	论文PDF/19_2026_INFOCOM2026_O-DSS：面向中频段蜂窝与雷达共存的开放动态频谱共享框架_Chiejina等.pdf	O-DSS：面向中频段蜂窝与雷达共存的开放动态频谱共享框架	Chiejina	dynamic_spectrum_sharing	O-DSS: An Open Dynamic Spectrum Sharing Framework for Cellular-Radar Coexistence in Mid-band Frequencies	10.1109/INFOCOM59046.2026.11571172	2601.02571v1	https://arxiv.org/pdf/2601.02571v1	Accepted to INFOCOM 2026
2026	20	INFOCOM2026	论文PDF/20_2026_INFOCOM2026_面向可泛化无线信道预测的几何代数NeRF框架_Shen等.pdf	面向可泛化无线信道预测的几何代数NeRF框架	Shen	wireless_channel_prediction	A Geometric Algebra-informed NeRF Framework for Generalizable Wireless Channel Prediction	10.1109/INFOCOM59046.2026.11571298	2604.11983v1	https://arxiv.org/pdf/2604.11983v1	Accepted by IEEE INFOCOM 2026
